,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
823,Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2017,7.08,Zero Dep,39481,21.4,5.0,White,Bangalore,7.08 Lakh,7.08
824,Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2018,4.43,Third Party,61227,25.24,5.0,Blue,Bangalore,4.43 Lakh,4.43
825,Petrol,Sedan,Manual,4,Honda,Honda City,2006,1.8,Third Party insurance,80000,17.7,5.0,Black,Bangalore,1.80 Lakh,1.8
826,Diesel,SUV,Manual,1,Renault,Renault Duster,2016,7.0,Comprehensive,112521,19.01,5.0,Brown,Bangalore,7 Lakh,7.0
827,Diesel,SUV,Manual,1,MG,MG Hector,2020,18.0,Third Party insurance,20000,17.41,5.0,Others,Bangalore,18 Lakh,18.0
828,Petrol,Sedan,Automatic,1,Honda,Honda City,2021,14.5,Third Party insurance,20000,18.3,5.0,White,Bangalore,14.50 Lakh,14.5
829,Petrol,Sedan,Manual,2,Volkswagen,Volkswagen Ameo,2016,5.2,Third Party insurance,60000,17.0,5.0,Others,Bangalore,5.20 Lakh,5.2
830,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2018,4.7,Third Party insurance,40000,23.84,5.0,Others,Bangalore,4.70 Lakh,4.7
831,Diesel,SUV,Manual,1,Renault,Renault Duster,2016,6.0,Third Party insurance,50000,19.64,5.0,Black,Bangalore,6 Lakh,6.0
832,Diesel,SUV,Automatic,2,Audi,Audi Q3,2016,18.5,Third Party insurance,100000,15.17,5.0,Others,Bangalore,18.50 Lakh,18.5
833,Electric,Hatchback,Automatic,2,Mahindra,Mahindra e2o Plus,2017,4.6,Third Party insurance,20000,140.0,4.0,Blue,Bangalore,4.60 Lakh,4.6
834,Petrol,Sedan,Manual,2,Opel,OpelCorsa,2003,0.75,Third Party insurance,110000,13.8,5.0,Silver,Bangalore,"75,000",0.75
835,Petrol,Hatchback,Manual,2,Maruti,Maruti Baleno,2017,6.49,Third Party,63359,21.4,5.0,Blue,Bangalore,6.49 Lakh,6.49
836,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2017,6.57,Zero Dep,125227,22.54,5.0,Red,Bangalore,6.57 Lakh,6.57
837,Diesel,Hatchback,Manual,2,Volkswagen,Volkswagen Polo,2012,4.2,Third Party insurance,100000,22.07,5.0,Others,Bangalore,4.20 Lakh,4.2
838,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,6.29,Third Party insurance,71884,25.2,5.0,Silver,Bangalore,6.29 Lakh,6.29
839,Petrol,Hatchback,Manual,2,Honda,Honda Brio,2012,3.22,Third Party insurance,79059,19.4,5.0,Brown,Bangalore,3.22 Lakh,3.22
840,Petrol,Hatchback,Manual,2,Maruti,Maruti Baleno,2016,6.2,Third Party insurance,80000,21.4,5.0,Others,Bangalore,6.20 Lakh,6.2
841,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2013,4.35,Third Party,69124,22.38,5.0,Silver,Bangalore,4.35 Lakh,4.35
842,Diesel,MUV,Manual,4,Toyota,Toyota Innova,2012,9.6,Third Party insurance,120000,12.99,8.0,Others,Bangalore,9.60 Lakh,9.6
843,Petrol,Hatchback,Manual,1,Maruti,Maruti Ritz,2010,3.17,Comprehensive,73340,18.5,5.0,Blue,Bangalore,3.17 Lakh,3.17
844,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2017,5.74,Comprehensive,44268,18.9,5.0,Silver,Bangalore,5.74 Lakh,5.74
845,Petrol,Hatchback,Manual,1,Citroen,Citroen C3,2022,7.8,Third Party insurance,10000,19.3,5.0,Gray,Bangalore,7.80 Lakh,7.8
846,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2018,8.0,Third Party insurance,60000,18.7,5.0,Others,Bangalore,8 Lakh,8.0
847,Petrol,Sedan,Manual,1,Honda,Honda City,2020,9.25,Third Party insurance,30000,18.6,5.0,Others,Bangalore,9.25 Lakh,9.25
848,Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2017,7.75,Third Party insurance,50000,20.73,5.0,Others,Bangalore,7.75 Lakh,7.75
849,Petrol,Hatchback,Manual,2,Tata,Tata Nano,2011,0.7,Third Party insurance,80000,26.0,4.0,Other,Bangalore,"70,000",0.7
