it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Gear Box,Drive Type,City
0,Diesel,Hatchback,"83,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2013,₹ 5.25 Lakh,Comprehensive,"83,000 Kms",21.27 kmpl,1396 CC,5.0,Brown,6 Speed,FWD,Bangalore
0,Diesel,SUV,"92,000",Automatic,2,2nd Owner,BMW,BMW X3,2016,₹ 28.90 Lakh,Comprehensive,"92,000 Kms",16.55 kmpl,1995 CC,5.0,White,8 Speed,4WD,Bangalore
0,Petrol,Hatchback,"62,139",Manual,1,1st Owner,Maruti,Maruti Wagon R,2018,₹ 5.50 Lakh,Comprehensive,"62,139 Kms",20.51 kmpl,998 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Lpg,Hatchback,"74,000",Manual,1,1st Owner,Hyundai,Hyundai i10,2013,₹ 3.65 Lakh,Comprehensive,"74,000 Kms",19.2 kmpl,1086 CC,5.0,Grey,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"26,500",Automatic,2,2nd Owner,Renault,Renault KWID,2016,₹ 4.20 Lakh,Comprehensive,"26,500 Kms",24.04 kmpl,999 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Diesel,Sedan,"81,716",Automatic,1,1st Owner,Volvo,Volvo S60,2017,₹ 18.95 Lakh,Comprehensive,"81,716 Kms",27.03 kmpl,1969 CC,5.0,Silver,8 Speed,FWD,Bangalore
0,Diesel,Sedan,"24,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz E-Class,2018,₹ 59.90 Lakh,Comprehensive,"24,000 Kms",17 kmpl,2987 CC,5.0,White,9 Speed,RWD,Bangalore
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Mahindra,Mahindra XUV300,2022,₹ 10.50 Lakh,Third Party insurance,"10,000 Kms",17 kmpl,1197 CC,5.0,White,6-speed AutoSHIFT,FWD,Bangalore
0,Petrol,SUV,"18,000",Automatic,1,1st Owner,MG,MG Hector Plus,2021,₹ 20.75 Lakh,Comprehensive,"18,000 Kms",16.56 kmpl,1451 CC,6.0,Black,6-speed CVT,,Bangalore
0,Petrol,Hatchback,"38,197",Manual,1,1st Owner,Honda,Honda Brio,2013,₹ 3.94 Lakh,Third Party,"38,197 Kms",19.4 kmpl,1198 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"23,000",Automatic,2,2nd Owner,Maruti,Maruti Baleno,2017,₹ 7.25 Lakh,Comprehensive,"23,000 Kms",19.56 kmpl,1197 CC,5.0,Grey,CVT,FWD,Bangalore
0,Petrol,Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Alto K10,2013,₹ 2.40 Lakh,Third Party insurance,"50,000 Kms",20.92 kmpl,998 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Renault,Renault Kiger,2022,₹ 8.35 Lakh,Third Party insurance,"10,000 Kms",19.03 kmpl,999 CC,5.0,Others,5 Speed,,Bangalore
0,Petrol,Hatchback,"19,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2019,₹ 6.95 Lakh,Third Party insurance,"19,000 Kms",18.9 kmpl,1197 CC,5.0,Blue,5 Speed,FWD,Bangalore
0,Petrol,SUV,"14,000",Automatic,1,1st Owner,Kia,Kia Seltos,2020,₹ 17.25 Lakh,Comprehensive,"14,000 Kms",16.5 kmpl,1353 CC,5.0,White,7-Speed DCT,FWD,Bangalore
0,Petrol,Hatchback,"29,268",Manual,1,1st Owner,Hyundai,Hyundai EON,2014,₹ 3.30 Lakh,Comprehensive,"29,268 Kms",21.1 kmpl,814 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"20,000",Automatic,1,1st Owner,Volkswagen,Volkswagen Vento,2019,₹ 9.90 Lakh,Third Party insurance,"20,000 Kms",18.19 kmpl,1197 CC,5.0,Others,7 Speed,FWD,Bangalore
0,Petrol,Sedan,"30,000",Manual,1,1st Owner,Toyota,Toyota Yaris,2018,₹ 7.50 Lakh,Third Party insurance,"30,000 Kms",17.1 kmpl,1496 CC,5.0,Others,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"64,374",Automatic,1,1st Owner,Honda,Honda Jazz,2018,₹ 7.55 Lakh,,"64,374 Kms",19 kmpl,1199 CC,5.0,Grey,5 Speed,FWD,Bangalore
0,Diesel,SUV,"30,000",Manual,1,1st Owner,MG,MG Hector,2021,₹ 17.50 Lakh,Third Party insurance,"30,000 Kms",17.41 kmpl,1956 CC,5.0,Others,6 Speed,FWD,Bangalore
0,Petrol,SUV,"7,100",Automatic,1,1st Owner,Hyundai,Hyundai Alcazar,2022,₹ 20.83 Lakh,Comprehensive,"7,100 Kms",14.2 kmpl,1999 CC,6.0,White,6-speed,,Bangalore
0,Petrol,Hatchback,"43,679",Manual,1,1st Owner,Hyundai,Hyundai i10,2010,₹ 2.71 Lakh,Comprehensive,"43,679 Kms",19.81 kmpl,1086 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,SUV,"40,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2018,₹ 12.80 Lakh,Third Party insurance,"40,000 Kms",14.8 kmpl,1591 CC,5.0,Others,6 Speed,FWD,Bangalore
0,Diesel,Hatchback,"40,562",Manual,1,1st Owner,Hyundai,Hyundai i20,2012,₹ 4.36 Lakh,Third Party,"40,562 Kms",22.54 kmpl,1396 CC,5.0,Red,6 Speed,FWD,Bangalore
0,Petrol,SUV,"26,500",Automatic,2,2nd Owner,Hyundai,Hyundai Creta,2021,₹ 16.75 Lakh,Comprehensive,"26,500 Kms",,1397 CC,5.0,White,7-speed DCT,,Bangalore
0,Petrol,SUV,"20,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2019,₹ 12.50 Lakh,Third Party insurance,"20,000 Kms",18.15 kmpl,998 CC,5.0,Others,7-Speed,FWD,Bangalore
0,Diesel,SUV,"58,600",Automatic,1,1st Owner,Mahindra,Mahindra XUV500,2016,₹ 13.50 Lakh,Third Party insurance,"58,600 Kms",16 kmpl,2179 CC,7.0,Silver,6 Speed,FWD,Bangalore
0,Petrol,SUV,"20,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2019,₹ 12.50 Lakh,Third Party insurance,"20,000 Kms",18.15 kmpl,998 CC,5.0,Others,7-Speed,FWD,Bangalore
0,Petrol,SUV,"42,050",Automatic,1,1st Owner,Volkswagen,Volkswagen T-Roc,2020,₹ 22.25 Lakh,Comprehensive,"42,050 Kms",18.4 kmpl,1498 CC,5.0,White,7 Speed DSG,FWD,Bangalore
0,Petrol,Hatchback,"65,017",Automatic,1,1st Owner,Maruti,Maruti Celerio,2015,₹ 4.75 Lakh,2,"65,017 Kms",23.1 kmpl,998 CC,5.0,White,5 Speed ,FWD,Bangalore
0,Diesel,Sedan,"80,000",Automatic,2,2nd Owner,BMW,BMW 3 Series,2008,₹ 6 Lakh,Third Party insurance,"80,000 Kms",13.2 kmpl,1995 CC,5.0,Others,6 Speed,,Bangalore
0,Petrol,SUV,"30,000",Automatic,1,1st Owner,Jeep,Jeep Compass,2021,₹ 24.50 Lakh,Third Party insurance,"30,000 Kms",14.1 kmpl,1368 CC,5.0,Others,7 Speed DCT,4x2,Bangalore
